Secure Endpoint parse result of cse_get_computers,Automation Challenge,Parse the JSON result of the CSE get Computer API call and output the GUID of the search hostname,parse_result_of_cse_get_computers,"$CSE_result_of_get_computers,$victim_hostname",GUID,
Secure Endpoint parse_id_from_cse_get_event_type_api_call,Automation Challenge,Send CSE Get Event type API call and parse ID for event name in input,cse_id_of_event_type_name,,,
Secure Endpoint check last events in host for given event IDs,Automation Challenge,List every events which occurred on host for list of event IDs,cse_check_for_events_in_host,"CSE_Events,victim_hostname,*event_id_list",CSE_host_events,
Secure Endpoint get_sha256_from_cse_event,Automation Challenge,get  sha256 and filename of the malicious file in the last CSE event on host,get_sha256_from_cse_event,,,
Malware Analytics parse result of  search submission,Automation Challenge,Parse the result of Malware Analytic Search Submission and return sample ID,parse_result_of_ma_search_submission,,,
Umbrella parse token from JSON result,Automation Challenge,Extract the Umbrella API token from the JSON result,parse_umbrella_result_for_token,,,
Malware Analytics parse result of Get Domains,Automation Challenge,parse the JSON result of the Malware Analytics Get Domains API call,parse_result_of_ma_get_domains,,,
Umbrella Parse Result of Get DNS Activity,Automation Challenge,Parse the JSON result of the Umbrella Get DNS Activity and return list of internal infected IPs,parse_result_of_dns_activity,,,
XDR Parse token from JSON Result,Automation Challenge,Parse the XDR API Token from the JSON result,parse_xdr_result_for_token,,,same parser as umbrella token
Update variables from json inputs,Automation Challenge,Update Variable from a JSON Input definition,update_variables_from_json_inputs,JSON_FOR_VARIABLE_UPDATE,temp,
base64_encode_username_and_password,Automation Challenge,Base 64 Encode username:password,convert_username_and_password_base64,"Lab_ESA_username,Lab_ESA_password",ESA_Lab_JWT,
Format typosquatt domains,Automation Challenge,Format raw list of typosquatt domain to add into ESA dictionary into valid JSON payload,format_typosquatt_domains_to_add,"name_of_variable_for_dictionary_words,list_of_domains_aa",keep the field empty or None in worfklow - the [ dictionnary_words ] will be udpated automatically,
Create_typosquatt_list,Automation Challenge,create a typosquatt domain list from a domain name list,TBD,,,
check_if_domains_exist,Automation Challenge,check if domains in the domain list had been registered and if yes add them into a result list,check_if_domains_exist,,,